0 ,5.76792e-10
1 ,2.48136e-09
2 ,6.33987e-09
3 ,8.25134e-09
4 ,1.11188e-08
5 ,1.40565e-08
6 ,1.62281e-08
7 ,2.00445e-08
8 ,2.29188e-08
9 ,2.62502e-08
10,2.89278e-08
11,3.14087e-08
12,3.45502e-08
13,3.66796e-08
14,3.90411e-08
15,4.22951e-08
16,4.42208e-08
17,4.73623e-08
18,4.97588e-08
19,5.18321e-08
20,5.36241e-08
21,5.67868e-08
22,5.92468e-08
23,6.19947e-08
24,6.3604e-08
25,6.51922e-08
26,6.82636e-08
27,7.07234e-08
28,7.30286e-08
29,7.45046e-08
30,7.69291e-08
31,7.92063e-08
32,8.05627e-08
33,8.2671e-08,
34,8.48779e-08
35,8.70776e-08
36,8.88908e-08
37,9.08305e-08
38,9.27842e-08
39,9.48297e-08
40,9.61578e-08
41,9.7943e-08
42,9.93767e-08
43,1.01478e-07
44,1.036e-07
45,1.05393e-07
46,1.06187e-07
47,1.07754e-07
48,1.09427e-07
49,1.11275e-07
50,1.13306e-07
