0 ,1.13306e-07
1 ,1.11872e-07
2 ,1.07979e-07
3 ,1.05899e-07
4 ,1.03088e-07
5 ,1.00677e-07
6 ,9.75003e-08
7 ,9.50193e-08
8 ,9.22713e-08
9 ,8.92493e-08
10,8.64872e-08
11,8.35777e-08
12,8.11108e-08
13,7.88056e-08
14,7.63388e-08
15,7.41741e-08
16,7.1623e-08
17,6.9852e-08
18,6.74483e-08
19,6.5846e-08
20,6.35971e-08
21,6.13622e-08
22,5.86704e-08
23,5.70258e-08
24,5.51845e-08
25,5.32658e-08
26,5.08622e-08
27,4.8311e-08
28,4.82056e-08
29,4.63292e-08
30,4.34406e-08
31,4.25623e-08
32,4.08966e-08
33,3.98985e-08
34,3.72981e-08
35,3.50351e-08
36,3.35874e-08
37,3.25543e-08
38,3.10362e-08
39,2.86607e-08
40,2.76769e-08
41,2.64398e-08
42,2.47814e-08
43,2.27993e-08
44,2.15203e-08
45,1.98968e-08
46,1.91097e-08
47,1.90676e-08
48,1.63687e-08
49,1.58839e-08
50,1.41268e-08
51,1.35436e-08
52,1.17864e-08
53,1.03107e-08
54,9.07364e-09
55,7.42201e-09
56,5.31365e-09
57,4.89205e-09
58,3.48637e-09
59,2.01043e-09
60,8.14703e-10
